Timestamp start: 1715958843916
Timestamp end: 1715959644407
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      418.4   783.2   160.7   207.1   225.1   359.2   407.2   436.1   457.3   482.0   516.1   578.8  1497.5 10730.5 31859.0   7419.4     7434
read      424.1   469.6   148.8   201.9   216.1   347.8   428.8   479.8   518.2   565.1   630.8   775.5  1829.1  3631.3 10507.8  67085.4    67201
read      381.7   265.1   148.8   204.8   219.9   339.0   408.8   452.8   485.2   523.7   573.0   650.6  1000.5  2416.5  9999.3  85952.9    85927
read      419.2   334.9   148.8   208.0   223.7   363.6   449.7   501.7   540.1   585.0   644.6   744.3  1261.6  3632.8 10144.3  63918.0    63953
read      390.3   267.1   148.8   202.2   215.9   347.5   442.3   496.0   531.0   567.5   608.6   665.5   803.1  1646.4 12550.4  31615.8    31595
read      379.3   177.7   148.8   209.9   225.9   346.2   415.6   458.0   489.6   526.9   574.8   647.6   803.0  1412.5  5192.1  87862.9    87879
read      427.7  1386.6   160.7   205.1   223.4   366.5   418.6   447.2   467.0   492.0   523.3   575.4  1504.1 11003.2 32416.4   7298.6     7287
read      408.5   335.4   148.8   206.8   222.0   351.1   431.8   480.8   518.3   562.4   621.2   720.7  1419.5  3812.8 10036.4  62247.4    62295
read      506.8  1368.0   160.7   206.3   226.6   356.5   404.3   433.2   455.2   481.0   518.6   626.0  4555.4 28801.0 37458.1   6591.2     6561
read      576.9  1097.4   148.8   198.3   213.2   411.3   547.8   653.3   732.5   813.2   906.7  1069.4  3637.5 14823.3 37118.7  22512.5    22532
read      397.3   315.8   148.8   201.7   215.4   348.4   427.7   474.6   510.5   552.9   609.9   693.8  1161.5  3157.5 11346.7  60628.8    60653
read      385.6   233.2   148.8   201.9   215.3   343.9   423.5   470.9   507.8   550.3   603.4   679.0   880.2  2131.8  7237.0  59126.1    59076
read      389.8   247.5   148.8   203.5   217.2   343.5   421.8   469.0   505.7   549.5   604.8   687.0  1084.1  2081.2  7839.2  60098.8    60154
read      400.2   739.9   148.8   198.0   210.9   353.5   453.9   499.7   529.0   560.8   600.0   678.6  1018.0  3121.0 10312.9  22868.2    22964
read      458.1   987.4   160.7   200.4   217.6   381.5   442.2   474.9   497.9   524.1   555.7   616.9  2391.5 12668.6 36281.8   8167.7     8172
read      404.7   352.1   148.8   198.2   211.5   342.9   448.3   502.0   536.8   574.5   622.7   734.7  1135.7  4143.6 11993.3  27580.1    27652
read      387.3   242.6   148.8   199.5   213.4   340.8   429.4   483.5   520.7   560.1   603.8   669.7   962.3  1888.5  9641.1  37508.8    37594
read      377.0   211.2   148.8   200.4   213.6   342.7   439.9   484.8   512.6   540.6   573.8   620.6   733.7  1396.3  7933.9  24351.4    24367
read      384.8   215.3   148.8   200.4   214.4   344.6   436.7   491.0   526.8   563.4   604.0   659.9   778.0  1377.2  7692.0  33747.3    33771
read      382.0   204.6   148.8   209.9   225.7   346.9   418.3   461.2   493.7   532.2   581.0   656.4   816.4  1502.8  7567.2  84897.0    84944
read      384.7   214.4   148.8   209.8   225.9   349.2   421.6   464.9   497.2   535.0   583.3   659.5   835.9  1639.4  7725.6  85588.6    85666
read      389.4   215.6   148.8   203.5   217.6   353.5   436.2   484.2   519.8   561.0   610.4   678.6   827.6  1562.2  7300.6  51919.1    51918
read      390.8   732.5   148.8   201.2   214.9   344.2   434.1   487.8   524.0   562.1   604.1   663.0   817.8  2804.0 12268.7  34375.7    34406
read      378.3   247.4   148.8   199.8   213.1   338.7   434.1   484.3   516.4   548.6   584.4   632.8   742.6  1423.9  9375.6  28714.7    28664
read      383.8   246.2   148.8   199.8   213.7   342.0   427.3   479.3   516.4   555.3   597.3   658.2   801.5  2167.9  8081.7  38371.7    38289
read      500.5   814.7   148.8   199.5   214.6   408.6   518.4   589.0   650.5   721.6   803.5   927.4  1293.2 12002.6 31537.5  20667.1    20658
read      442.4   410.9   148.8   200.1   215.7   401.6   489.8   541.4   578.7   620.3   671.2   744.8   958.1  5103.7 17571.9  13872.7    13840
read      418.7   316.6   148.8   213.5   231.4   365.9   439.3   485.2   519.9   563.1   623.3   731.7  1557.0  2966.5  9858.8  93525.2    93419
read      403.5   254.3   148.8   218.0   236.5   367.6   436.2   478.7   510.5   549.5   601.7   683.2   871.2  2303.1  9821.5  98157.6    98284
read      380.7   242.7   148.8   203.2   217.0   340.1   415.5   460.6   494.4   535.1   586.3   664.3   857.5  2171.8  8950.9  71156.5    71313
read      384.0   213.9   148.8   199.6   213.3   343.2   425.1   475.4   513.3   556.9   605.6   673.2   836.7  1735.2  8277.5  42068.6    42089
read      391.9   272.7   148.8   202.8   216.7   347.7   428.5   478.7   518.3   563.3   615.9   684.6   871.8  2672.6  8082.7  46385.8    46458
read      383.0   227.7   148.8   198.2   211.7   336.5   434.1   489.6   525.7   562.5   602.3   658.2   800.4  1948.5  8484.4  30794.1    30755
read      381.1   212.4   148.8   198.3   211.7   340.0   420.7   471.6   511.6   556.2   606.2   670.5   812.6  1695.3  7865.9  42973.9    42889
read      391.3   289.6   148.8   210.6   227.2   352.9   421.9   463.6   495.1   533.3   583.0   663.1   868.5  2620.9 11506.7  93568.7    93552
read      381.9   223.3   148.8   203.6   217.3   339.9   418.1   464.9   500.8   543.6   596.5   672.6   849.9  2004.3  6856.8  65881.5    65694
read      377.6   234.6   148.8   199.6   212.6   331.9   429.5   483.1   517.7   552.9   591.8   643.8   764.6  1494.1  9134.2  29543.5    29574
read      386.2   238.7   148.8   202.7   216.0   344.0   423.9   472.8   511.4   555.7   609.8   681.3   854.7  1974.7  5979.4  51341.0    51355
read      385.5   276.8   148.8   204.9   219.0   342.0   418.1   464.4   499.7   541.8   594.7   674.4   874.9  2405.9  8717.0  67340.6    67361
read      448.1   308.2   160.7   205.6   221.0   408.7   498.9   555.0   599.0   650.0   710.9   797.5   998.4  3956.4  9989.9  16275.8    16287
read      412.2   310.6   148.8   208.6   224.2   351.7   428.2   474.8   510.6   554.8   615.3   718.0  1711.5  2878.4  9687.0  81338.4    81508
read      383.2   243.9   148.8   209.4   224.9   344.1   412.1   454.2   485.8   524.4   574.9   653.0   860.6  2520.2  7920.1  87747.5    87619
read      457.5   351.4   148.8   222.8   244.9   401.9   485.2   536.7   578.3   633.0   719.9   872.3  1158.6  3401.6 12007.7  99051.0    99068
read      399.1   232.6   148.8   205.7   220.3   359.0   445.0   495.7   532.0   573.0   624.0   700.8   899.2  1957.3  7949.0  51284.0    51267
read      427.5   284.0   160.7   208.8   225.7   399.3   474.2   522.5   558.8   599.9   648.4   718.1   857.8  3364.9 12559.4  11832.9    11822
read      514.6   375.3   148.8   231.8   258.9   427.7   512.8   576.8   635.2   717.4   819.3   990.0  1950.5  3056.6 11060.4  97489.2    97494
read      422.2   229.7   148.8   220.6   240.1   382.8   458.6   505.0   541.6   587.4   650.2   753.7   967.3  1359.8  7956.0  97126.0    97350
read      395.5   232.0   148.8   205.2   219.5   354.3   439.1   489.5   526.4   569.2   621.6   697.2   873.7  1808.0  8296.2  55334.0    55460
read      392.3   265.7   148.8   209.8   226.1   354.0   426.7   470.4   503.5   542.7   593.3   675.0   869.9  1966.0  9257.3  86001.3    85984
read      394.8   208.4   148.8   211.8   227.9   355.6   431.0   476.5   510.2   551.3   605.2   686.2   879.7  2099.2  7472.0  81989.7    82043
read      398.0   246.6   148.8   205.5   219.9   355.2   440.2   491.1   528.9   572.9   626.1   703.5   893.9  2209.4  8377.5  52952.4    52873
read      450.5   422.1   160.7   204.5   219.7   408.7   492.3   542.6   583.0   630.3   686.3   767.1  1004.5  5352.2 15063.8  13876.6    13911
read      418.4   296.0   148.8   207.3   222.1   359.3   446.5   500.0   540.4   587.7   648.8   749.6  1471.5  2582.3  8560.3  49917.5    49984
