Timestamp start: 1715691894231
Timestamp end: 1715692694752

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      413.4   650.6   160.7   223.6   243.0   377.3   431.1   458.9   477.6   499.5   529.5   580.9   898.0  6278.0 31598.0   7382.6     7434
read      430.0   462.3   148.8   204.5   219.1   352.2   432.9   480.8   517.7   565.7   633.0   813.9  1780.8  5093.9 13775.2  67029.0    67201
read      374.8   262.2   148.8   203.0   216.4   335.6   405.4   448.1   478.7   516.0   564.4   639.7   920.8  2135.8  7598.8  86060.8    85927
read      375.9   217.6   148.8   201.0   213.5   341.6   416.0   458.1   489.7   528.2   577.3   644.2   828.0  2093.5  7880.2  64027.0    63953
read      381.9   228.4   148.8   201.4   214.9   346.2   431.0   480.9   514.4   548.9   588.7   638.6   777.4  1440.3  8007.8  31485.0    31595
read      475.8   356.8   160.7   227.6   250.2   419.6   511.7   568.0   611.3   667.9   749.7   892.0  1182.4  3622.0 10539.7  87806.2    87879
read      435.2   843.8   160.7   231.7   251.2   370.9   420.5   448.3   468.6   493.2   523.6   576.8  2086.2  6954.2 36694.9   7301.2     7287
read      430.8   355.9   148.8   214.9   230.5   363.1   447.6   498.0   536.3   583.2   642.8   781.7  1665.2  3180.6  9869.4  62201.8    62295
read      464.7  1113.1   173.5   230.6   249.6   364.0   412.8   440.0   460.8   485.2   516.6   587.3  2587.5 22585.2 34020.7   6549.2     6561
read      526.4   658.6   160.7   216.4   234.3   444.1   565.0   639.9   695.9   764.4   848.6   986.7  1378.2  8074.8 30627.5  22469.6    22532
read      404.9   312.6   160.7   211.1   226.2   347.0   423.5   469.2   506.4   552.0   613.2   709.9  1431.5  2623.0 10851.4  60606.6    60653
read      399.3   312.0   160.7   210.2   225.5   347.9   422.5   467.4   503.0   546.3   602.6   686.3  1342.5  2448.8 10201.0  59096.0    59076
read      388.5   257.5   148.8   210.5   225.5   347.3   423.0   467.2   501.8   542.7   593.1   663.1   865.1  2388.4  8242.3  59881.2    60154
read      440.3   495.3   160.7   212.2   228.0   377.1   478.0   526.6   559.3   598.6   661.4   815.6  1166.0  5430.3 29729.2  23037.8    22964
read      436.4   698.5   160.7   228.2   246.9   382.5   443.3   474.4   495.9   519.9   548.0   594.2  1414.8  9802.2 30884.4   8167.8     8172
read      429.0   351.7   160.7   209.8   225.1   363.2   466.3   521.5   558.8   601.7   664.9   828.4  1217.4  4336.2 11991.9  27588.4    27652
read      401.5   419.8   160.7   207.5   222.4   349.9   431.2   481.5   519.4   561.5   609.0   674.5  1047.6  4655.2 12668.8  37549.2    37594
read      383.9   297.5   160.7   207.1   221.8   344.4   438.5   483.8   512.3   541.7   575.5   620.8   738.3  1799.5 10134.1  24313.2    24367
read      392.4   332.5   148.8   206.4   221.0   346.1   430.6   481.9   517.8   556.0   597.5   655.8   934.6  2564.5 13998.8  33821.8    33771
read      378.6   239.6   148.8   208.2   223.0   340.6   411.9   454.2   485.6   523.0   570.7   639.2   829.2  2259.3  8473.3  84816.0    84944
