#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      456.2   343.0   173.5   228.4   248.7   445.8   513.1   544.7   567.7   592.0   627.0   678.8   844.0  5253.6 11087.3   9968.2    10000
read      481.9   309.4   160.7   228.3   250.3   459.9   547.6   594.7   629.5   670.2   720.9   793.8   951.4  2684.7 10881.2  14936.6    15000
read      524.7   382.1   160.7   229.6   254.3   499.3   588.0   642.8   686.9   739.0   799.3   878.8  1047.0  5544.0 13952.4  19970.6    20000
read      545.9   283.8   160.7   230.3   256.5   529.8   623.1   680.4   726.3   782.0   851.3   942.3  1105.8  1789.7  9761.2  25065.8    25000
read      561.6   359.0   160.7   229.5   256.0   542.4   644.0   701.6   745.8   804.5   877.8   986.8  1176.6  2970.5 13098.3  29880.2    30000
read      570.8   349.7   160.7   232.4   259.8   540.0   656.7   721.3   768.6   826.6   905.2  1022.7  1269.7  1981.2 12228.4  34874.0    35000
read      580.7   389.8   160.7   233.9   262.4   528.8   649.3   725.4   781.7   848.3   936.0  1085.2  1451.0  3229.6 14118.6  39873.4    40000
read      613.2   434.7   160.7   245.9   281.8   578.2   700.5   768.0   814.4   870.3   944.7  1067.5  1334.2  5235.9 14884.8  44845.6    45000
read      663.8   427.7   173.5   271.7   321.6   620.7   751.0   820.5   869.5   931.5  1014.3  1159.0  1507.1  4547.6 14816.8  50003.4    50000
read     1358.9   868.5   236.1   969.2  1021.8  1162.1  1232.0  1275.3  1370.6  2039.6  2179.2  2313.5  2532.5 14548.5 30894.5  49529.0    55000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      414.9   418.1   173.5   240.5   267.4   391.6   429.2   450.2   464.7   483.1   505.3   543.7   713.7  6487.0 15267.9   4990.0     5000
read      446.3   383.5   160.7   228.0   247.8   438.2   505.5   537.0   558.7   584.7   618.1   668.6   784.8  4368.6 13435.3   9988.8    10000
read      488.5   434.2   160.7   230.4   252.8   460.2   551.5   600.3   635.0   675.8   726.1   798.3   955.0  3944.6 23472.8  14979.2    15000
read      524.5   319.1   160.7   230.6   256.2   498.4   594.1   652.7   697.2   749.8   810.1   898.3  1079.8  2056.0 14223.1  20035.6    20000
read      549.0   382.4   160.7   229.9   255.2   526.7   619.2   675.1   721.6   780.3   853.8   952.5  1137.6  4205.0 10977.3  24935.0    25000
read      560.7   340.9   160.7   230.8   257.7   545.8   641.7   697.8   740.8   797.4   870.5   975.5  1144.7  3255.0 13287.1  30094.0    30000
read      570.1   370.9   148.8   232.6   260.5   548.8   655.8   713.7   756.4   809.4   884.2   993.7  1179.1  4174.7 13229.2  34967.2    35000
read      587.3   411.5   160.7   235.1   265.3   538.8   664.7   737.2   789.4   852.3   933.9  1063.9  1405.4  4868.6 14074.3  40204.6    40000
read      587.5   366.3   160.7   237.9   269.8   525.3   650.4   734.4   797.7   871.7   972.0  1131.2  1458.2  2022.9 13366.7  45017.4    45000
read      676.0   464.5   160.7   256.6   301.9   595.3   754.4   846.9   913.4   987.4  1078.4  1275.7  1935.6  5165.9 14600.7  49986.3    50000
read     1282.6   844.3   173.5   888.8   946.3  1089.2  1160.4  1221.5  1454.0  1932.3  2064.0  2171.0  2361.2 12539.6 29837.3  51952.6    55000
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      408.7   252.6   173.5   249.9   275.9   396.5   434.2   456.1   470.3   489.8   510.2   547.4   641.7  3974.9 10073.2   4946.8     5000
read      461.4   410.5   160.7   229.5   250.4   452.8   520.6   553.3   576.8   602.6   635.3   686.6   802.3  5331.5 27905.2   9943.8    10000
read      500.2   422.8   160.7   229.3   252.8   470.4   561.2   611.3   646.6   685.8   734.7   805.1   981.7  5406.2 13873.0  15030.4    15000
read      520.3   406.1   160.7   228.1   251.4   486.0   578.1   635.2   681.3   737.6   806.2   906.5  1146.6  3772.2 18418.6  19976.6    20000
read      538.7   351.7   160.7   228.1   251.9   498.9   601.0   664.2   716.1   784.4   869.3   990.2  1250.1  4028.2 14208.3  24889.4    25000
read      565.3   473.4   160.7   229.9   255.1   516.2   625.9   691.6   744.3   817.0   910.4  1044.9  1361.6  6229.5 14694.1  29994.4    30000
read      569.2   344.8   160.7   232.5   259.1   535.3   652.9   719.4   767.8   826.4   905.2  1021.2  1279.0  2860.9 11523.3  34951.8    35000
read      586.7   357.8   160.7   234.8   265.2   547.5   674.7   745.0   794.9   852.7   929.2  1050.2  1284.0  3987.6 12093.3  40035.6    40000
read      591.6   354.4   160.7   240.7   273.6   538.3   668.1   746.4   802.9   869.3   957.7  1098.1  1413.9  2137.7 10437.6  45047.4    45000
read      728.5   516.0   160.7   276.4   335.4   672.1   818.4   896.3   951.5  1016.5  1104.3  1302.8  1940.2  7389.8 17047.2  50092.0    50000
read     1329.7   846.7   173.5   950.0   992.0  1140.0  1195.7  1256.0  1344.1  1997.8  2135.7  2267.9  2469.2 13912.4 29723.6  50527.0    55000
