#type avg std min p5 p10 p50 p67 p75 p80 p85 p90 p95 p99 p999 p9999 QPS target ts_start ts_end
read 227.3 254.7 74.4 124.0 134.6 198.8 234.3 258.0 276.6 302.4 339.8 397.8 513.0 2087.4 13138.1 30343.6 30355 1715519478351 1715519488469
read 228.1 205.7 80.4 125.8 136.4 201.8 238.7 262.1 279.9 303.9 340.5 400.7 511.0 1872.8 11107.0 30390.8 30360 1715519489979 1715519500093
read 231.4 242.6 80.4 126.3 137.1 200.5 235.9 260.0 278.9 305.1 343.0 402.7 533.9 3364.5 9630.3 30379.0 30365 1715519501602 1715519511717
read 222.1 158.9 80.4 124.1 134.5 197.9 233.6 257.0 275.5 300.7 337.4 394.9 499.8 1210.2 6512.7 30400.9 30370 1715519513227 1715519523343
read 224.9 172.6 80.4 124.7 135.6 201.2 237.2 260.9 279.1 304.0 340.1 397.2 501.5 1005.0 7873.2 30410.5 30375 1715519524853 1715519534967
read 219.6 165.1 80.4 123.0 133.2 195.8 231.1 253.5 271.6 295.7 331.8 389.0 484.0 1156.1 7913.3 30367.7 30380 1715519536476 1715519546596
read 227.7 169.9 80.4 125.4 136.4 202.5 241.3 265.7 284.6 309.2 344.8 402.8 503.5 1097.4 7983.6 30385.5 30385 1715519548104 1715519558222
read 223.9 173.2 80.4 123.8 134.5 197.5 234.3 259.1 278.7 305.1 342.4 400.8 502.8 1290.5 7624.2 30228.0 30390 1715519559730 1715519569841
read 217.3 154.2 80.4 121.5 131.8 193.2 228.4 251.2 269.9 294.5 331.2 387.9 485.6 1059.4 7339.6 30409.3 30395 1715519571348 1715519581470
read 231.1 189.8 80.4 125.0 136.3 204.8 244.3 269.9 289.8 315.3 352.4 411.9 517.0 1306.4 8120.8 30366.1 30400 1715519582982 1715519593096
read 238.3 180.3 80.4 129.0 140.9 211.5 252.8 279.6 300.7 327.8 365.3 421.6 530.6 1424.5 7738.5 30310.5 30405 1715519594605 1715519604722
read 221.4 161.6 74.4 121.4 133.2 197.7 235.7 262.6 282.7 307.0 337.7 382.0 466.1 775.8 7825.3 30369.0 30410 1715519606230 1715519616353
