#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      403.0   382.3   202.4   270.3   296.1   386.5   416.6   432.3   444.8   459.6   477.1   508.6   636.7  4477.5 18642.2   4954.4     5000  1715183132191  1715183137640
read      403.0   361.1   173.5   242.7   262.0   394.7   435.5   456.5   469.7   487.8   507.0   542.7   635.7  4344.0 17923.9   9996.4    10000  1715183139145  1715183144588
read      412.6   290.1   160.7   231.5   249.8   409.2   471.7   499.0   517.2   537.4   562.5   600.3   691.5  1971.8 14553.5  14916.8    15000  1715183146094  1715183151442
read      402.2   214.2   160.7   223.7   239.8   385.7   467.1   500.0   521.4   543.7   574.0   618.5   724.6  2264.3  8348.9  20067.0    20000  1715183152946  1715183158283
read      422.2   251.4   160.7   218.9   235.1   386.6   506.0   550.4   577.5   606.0   637.0   683.9   786.0  1086.8  9883.5  24973.0    25000  1715183159788  1715183165116
read      406.8   249.7   160.7   216.2   230.8   357.3   474.5   528.8   560.6   593.2   629.8   678.1   777.3  1436.2 10106.1  29867.8    30000  1715183166621  1715183171927
read      403.5   207.3   160.7   213.6   228.2   353.5   462.2   524.1   561.0   598.9   638.4   690.6   798.7  1240.6  6934.6  35008.0    35000  1715183173432  1715183178761
read      397.1   215.2   148.8   210.4   225.0   345.2   446.9   513.2   554.0   594.6   637.4   691.6   798.0  1255.9  7244.8  40088.6    40000  1715183180266  1715183185589
read      396.9   212.3   160.7   213.9   228.3   345.6   436.5   505.6   549.7   594.5   639.9   696.4   801.3  1209.8  7644.5  44922.8    45000  1715183187094  1715183192428
read      385.1   191.2   160.7   212.3   226.4   334.3   415.8   480.0   528.0   576.4   626.5   687.5   798.1  1156.8  5977.2  50024.0    50000  1715183193933  1715183199253
read      383.3   195.3   160.7   213.4   227.8   336.8   413.9   469.3   513.7   562.3   614.7   677.4   783.3  1269.0  6042.5  54997.4    55000  1715183200759  1715183206075
read      378.7   176.0   160.7   215.6   229.3   330.8   401.6   455.3   500.5   553.0   612.7   681.8   798.5  1125.2  5453.1  59888.6    60000  1715183207580  1715183212891
read      378.2   192.4   160.7   215.9   229.8   335.4   404.6   452.5   490.8   537.0   592.6   666.6   799.7  1429.8  7292.0  64874.4    65000  1715183214395  1715183219706
read      368.6   192.1   160.7   214.3   227.9   330.1   398.7   442.2   474.6   513.5   560.0   626.0   777.1  1531.8  6784.5  69989.0    70000  1715183221211  1715183226545
read      373.7   162.6   160.7   217.1   231.3   339.8   406.1   446.6   476.8   515.1   565.1   636.3   779.1  1223.1  4175.4  74903.4    75000  1715183228049  1715183233361
read      362.9   181.8   160.7   215.2   228.9   330.4   391.9   428.1   456.5   492.3   539.2   611.4   745.7  1235.9  7287.8  80010.0    80000  1715183234865  1715183240179
read      365.8   153.5   160.7   217.3   231.3   337.8   398.6   433.7   461.0   494.2   537.7   605.3   743.5  1115.7  3801.8  84946.0    85000  1715183241684  1715183246994
read      357.2   164.2   160.7   215.4   229.0   329.5   387.4   420.7   445.8   475.8   517.5   583.1   727.9  1353.1  4749.0  90002.8    90000  1715183248500  1715183253818
read      362.9   167.1   160.7   218.7   232.9   338.5   394.1   426.0   450.1   479.1   519.0   582.6   732.0  1315.4  5878.5  94939.0    95000  1715183255323  1715183260638
read      352.3   144.5   160.7   219.3   232.9   329.1   380.0   409.1   431.6   460.1   498.3   558.3   692.2  1223.1  5034.3  99995.1   100000  1715183262143  1715183267453
read      372.0   177.0   148.8   222.6   239.0   346.5   401.6   434.5   459.9   490.8   532.4   599.1   764.2  1068.4  7886.3 105100.3   105000  1715183268957  1715183274285
read      373.0   167.5   160.7   227.0   245.0   354.7   403.9   432.8   455.1   481.2   516.5   577.2   723.1  1068.3  5187.9 109992.8   110000  1715183275789  1715183281103
read      472.0   249.6   148.8   237.8   263.4   421.0   504.7   565.9   618.0   681.7   763.4   872.2  1059.4  1350.4  8835.9 111795.1   115000  1715183282608  1715183287917
read      381.4   131.2   160.7   233.4   254.4   367.9   415.3   442.3   463.1   488.7   522.3   576.8   689.4   897.5  3994.8 119716.2   120000  1715183289421  1715183294731
read      469.5   242.5   160.7   237.9   262.7   409.6   490.8   553.6   619.0   701.3   791.3   897.9  1064.4  1325.1  7874.8 115540.4   125000  1715183296236  1715183301545

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      418.1   469.1   187.4   271.3   297.2   393.3   423.8   439.2   452.7   466.2   486.8   518.5   687.3  7820.8 18301.6   4961.8     5000  1715183349402  1715183354845
read      425.4   462.3   173.5   243.9   266.2   414.5   459.4   482.0   497.8   515.6   539.9   578.3   675.8  7579.9 22238.0   9884.2    10000  1715183356350  1715183361780
read      428.5   258.5   173.5   232.9   251.6   430.0   497.1   526.0   544.4   566.6   590.9   629.8   715.6  2894.2  9325.5  14955.8    15000  1715183363285  1715183368613
read      416.3   256.6   160.7   222.7   239.6   400.2   487.5   523.1   544.8   571.3   601.8   646.4   741.7  1767.6  9868.8  20047.4    20000  1715183370118  1715183375462
read      409.8   225.0   160.7   220.2   235.7   371.6   482.9   528.7   555.9   584.4   617.9   663.6   750.9  1319.2  9968.7  24994.4    25000  1715183376966  1715183382311
read      404.5   236.7   160.7   215.7   230.7   362.3   469.5   519.8   549.3   582.2   619.7   669.9   764.3  2076.9 10011.4  29908.4    30000  1715183383814  1715183389137
read      398.3   218.3   160.7   212.0   226.5   344.3   454.1   520.5   558.4   594.8   632.9   682.8   779.0  1824.0  7871.3  35109.2    35000  1715183390641  1715183395952
read      402.0   316.5   160.7   212.9   227.5   347.8   451.1   517.7   557.8   597.8   639.4   693.1   802.0  1497.7 10066.4  39965.8    40000  1715183397457  1715183402778
read      394.9   204.5   148.8   213.0   227.5   342.2   431.7   502.0   549.1   595.8   641.5   695.8   796.9  1247.7  7333.3  44909.2    45000  1715183404283  1715183409604
read      385.6   203.7   160.7   212.5   226.8   334.9   416.3   479.1   527.0   576.7   627.9   686.5   790.3  1086.3  7608.9  50071.0    50000  1715183411109  1715183416429
read      386.9   188.8   148.8   213.3   228.2   343.6   421.6   474.9   517.6   564.6   616.3   678.7   791.5  1159.7  6720.3  54992.0    55000  1715183417934  1715183423242
read      383.5   204.9   160.7   216.4   230.4   339.0   411.8   461.3   502.3   551.0   609.0   678.7   793.9  1457.6  8785.8  60068.6    60000  1715183424747  1715183430053
read      378.3   184.1   160.7   214.4   228.7   336.3   407.0   455.0   493.0   539.5   594.6   668.8   795.5  1273.8  6105.0  64976.0    65000  1715183431558  1715183436884
read      366.3   164.2   160.7   214.5   228.5   330.8   396.3   436.3   468.5   508.6   559.4   628.9   746.0  1069.2  4660.3  70041.2    70000  1715183438390  1715183443696
read      374.5   175.7   160.7   217.5   231.8   342.7   408.7   447.3   475.7   512.2   560.6   633.1   768.7  1105.0  6348.0  74836.6    75000  1715183445201  1715183450509
read      370.4   191.5   148.8   215.7   229.7   336.7   401.3   440.0   469.2   505.9   554.0   629.2   781.8  1163.5  7956.1  80250.0    80000  1715183452013  1715183457318
read      359.4   174.0   160.7   214.8   228.7   329.8   388.9   423.1   449.5   482.5   527.2   595.4   739.4  1211.7  5960.2  85008.8    85000  1715183458822  1715183464138
read      368.3   167.8   160.7   219.4   234.0   341.4   401.0   434.5   460.3   491.9   534.0   599.0   754.4  1217.7  5894.7  89982.6    90000  1715183465644  1715183470955
read      363.4   163.0   160.7   219.0   232.9   338.6   395.1   427.2   451.4   480.6   520.4   583.4   733.6  1375.7  4819.7  95028.0    95000  1715183472461  1715183477771
read      379.6   185.2   160.7   221.3   237.7   350.7   411.1   447.2   473.4   506.3   549.6   627.4   806.9  1184.8  7320.6  99863.6   100000  1715183479275  1715183484590
read      349.4   150.6   160.7   218.9   232.7   328.7   377.7   405.3   427.3   453.6   489.0   545.1   671.1   998.9  4619.9 105144.2   105000  1715183486094  1715183491412
read      411.1   169.4   160.7   238.1   261.1   392.8   448.5   480.4   504.8   536.3   578.9   646.7   798.5  1084.5  5978.6 110053.6   110000  1715183492918  1715183498227
read      535.8   264.2   160.7   293.0   328.7   500.5   594.6   647.6   685.7   729.8   785.0   862.6  1004.9  1349.0 10152.1 112782.2   115000  1715183499732  1715183505059
read      461.5   199.3   160.7   249.6   277.7   423.6   504.9   560.4   600.7   645.1   699.5   775.4   911.2  1154.9  6976.1 118072.4   120000  1715183506564  1715183511871
read      491.0   206.9   160.7   266.9   299.7   449.2   532.4   592.0   637.3   688.5   746.9   828.8   969.8  1246.9  5635.6 118263.4   125000  1715183513376  1715183518690

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      412.6   468.2   173.5   267.8   294.7   389.5   419.7   434.9   447.9   462.1   480.6   509.5   635.5  7790.9 18628.8   4977.6     5000  1715183572396  1715183577863
read      422.7   408.2   173.5   240.1   261.3   414.9   457.8   479.5   495.8   513.2   537.5   574.4   673.8  5660.8 18992.1   9980.8    10000  1715183579371  1715183584771
read      434.8   313.0   160.7   234.2   253.6   431.2   499.4   529.4   548.1   571.5   596.5   636.3   731.0  4144.0 12996.2  15066.4    15000  1715183586276  1715183591598
read      416.8   246.5   160.7   223.0   240.0   403.0   488.7   524.1   546.1   572.0   601.3   643.7   739.9  1769.2  9954.2  19934.2    20000  1715183593104  1715183598444
read      419.3   251.0   160.7   219.7   235.0   377.8   502.1   549.2   577.0   606.2   637.6   683.6   779.9  1114.4 10642.8  25049.6    25000  1715183599948  1715183605280
read      412.7   245.6   160.7   215.2   230.5   362.1   487.0   541.0   572.4   604.4   639.3   686.7   787.3  1512.1 11950.8  30075.0    30000  1715183606785  1715183612088
read      388.5   218.1   160.7   214.7   229.0   349.2   444.0   493.3   523.9   554.7   588.3   633.7   738.3  1329.2  8122.7  34930.4    35000  1715183613593  1715183618922
read      402.1   206.1   148.8   214.2   229.1   348.2   450.6   521.4   564.1   606.1   648.6   698.9   793.2  1234.2  7412.3  40219.6    40000  1715183620427  1715183625753
read      396.8   221.5   160.7   212.1   226.8   346.2   439.7   505.5   548.3   592.8   639.4   696.9   803.8  1087.4  7840.6  44952.8    45000  1715183627258  1715183632579
read      384.9   220.2   148.8   211.2   225.3   332.3   412.6   477.5   528.0   578.5   629.5   687.5   787.9  1110.1  7998.3  49943.0    50000  1715183634083  1715183639409
read      384.0   205.1   160.7   213.6   227.8   337.7   416.4   470.2   513.0   560.2   611.8   676.0   794.5  1246.0  6906.1  54835.0    55000  1715183640913  1715183646230
read      384.7   187.9   148.8   215.5   229.8   340.9   416.7   467.6   508.8   555.5   610.4   679.0   799.4  1131.5  7417.0  59708.2    60000  1715183647735  1715183653049
