#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      373.4   403.0   160.7   232.7   258.3   353.3   385.6   402.7   416.5   431.0   451.8   483.8   607.5  5126.3 20903.3   5005.8     5000  1714580542282  1714580547716
read      391.0   380.5   160.7   216.8   233.9   382.7   431.9   454.0   467.9   486.4   506.7   541.4   641.5  3931.8 24226.5   9991.0    10000  1714580549220  1714580554592
read      392.4   219.0   160.7   209.9   226.0   391.1   457.5   485.5   503.7   525.1   548.1   586.2   668.5  1970.5  7610.5  15015.4    15000  1714580556096  1714580561425
read      401.3   216.5   148.8   205.4   221.8   388.4   476.0   512.2   535.2   559.8   587.9   629.3   732.8  1532.0  9149.8  19954.8    20000  1714580562930  1714580568258
read      407.5   273.8   160.7   203.9   220.0   377.5   480.3   524.7   552.7   580.6   613.1   658.1   783.2  1749.8 12826.4  24934.6    25000  1714580569762  1714580575082
read      405.5   264.4   148.8   201.7   216.3   363.4   468.9   521.6   554.7   588.9   628.6   687.5   949.0  1560.1 12251.3  30060.0    30000  1714580576587  1714580581914
read      390.5   261.0   148.8   197.4   210.9   344.3   445.5   496.6   530.4   566.7   608.7   673.7  1027.6  1490.4  9142.8  34992.6    35000  1714580583417  1714580588725
read      393.6   241.8   148.8   200.3   214.2   339.6   438.6   492.2   528.7   567.7   613.1   687.1  1145.0  1702.2  8789.6  40006.6    40000  1714580590229  1714580595526
read      401.7   260.4   148.8   198.7   212.4   334.0   442.8   501.1   541.9   585.9   637.9   737.8  1294.5  1866.9  9085.0  44971.8    45000  1714580597030  1714580602360
read      387.9   278.9   148.8   196.6   209.0   310.9   414.9   477.1   520.5   568.3   626.7   737.2  1339.4  1905.0  8771.2  50175.7    50000  1714580603864  1714580609152
read      394.3   284.5   148.8   198.4   211.0   315.3   419.2   481.9   527.0   577.4   636.3   750.6  1409.1  2027.6  7603.2  54889.7    55000  1714580610657  1714580615956
read      392.5   292.2   148.8   198.1   210.1   299.2   393.0   460.4   508.9   565.2   637.2   816.0  1591.5  2207.1  7948.2  60033.0    60000  1714580617460  1714580622764
read      390.6   286.0   148.8   197.0   209.5   300.2   384.7   444.0   489.7   545.0   620.9   835.1  1675.8  2360.6  6641.4  65023.4    65000  1714580624269  1714580629562
read      393.1   330.5   148.8   197.3   209.7   299.5   378.6   434.2   476.9   531.5   610.4   857.1  1794.8  2722.6  7934.5  70074.0    70000  1714580631066  1714580636372
read      392.4   360.9   148.8   197.8   209.9   295.2   367.7   420.2   461.0   513.2   593.5   892.8  1924.6  2884.2  8478.0  74795.6    75000  1714580637875  1714580643174
read      392.0   359.8   148.8   196.9   209.3   294.6   360.0   405.0   442.6   492.1   572.9   934.2  2047.3  2950.9  6525.8  79748.0    80000  1714580644679  1714580649971
read      387.9   401.5   148.8   197.3   209.5   288.1   344.4   388.1   425.0   473.6   555.9   942.2  2114.3  3051.2  7905.0  84875.2    85000  1714580651474  1714580656792
read      411.2   442.1   148.8   202.0   214.5   301.3   364.4   409.1   447.1   499.1   595.4  1040.7  2270.6  3368.9 12938.7  89734.3    90000  1714580658297  1714580663612
read      427.0   460.3   148.8   203.2   216.7   308.0   371.8   418.0   457.1   511.7   636.2  1144.6  2420.3  3676.7  9867.3  95047.4    95000  1714580665116  1714580670418
read      460.3   422.3   148.8   207.7   223.6   342.8   433.6   500.1   561.0   657.1   810.3  1114.8  2031.4  3305.4 10481.5 100100.6   100000  1714580671922  1714580677228
read      479.0   427.5   148.8   210.7   227.8   366.0   475.3   553.3   623.3   716.9   850.2  1093.9  1880.5  3191.9 12345.2 104771.2   105000  1714580678733  1714580684022
read      596.4   336.0   160.7   273.5   315.2   542.7   652.5   722.8   777.6   845.5   934.8  1089.6  1435.7  2178.3  9076.7 107112.4   110000  1714580685526  1714580690815
read      544.4   345.7   148.8   225.5   250.9   479.5   601.0   676.4   735.4   808.3   911.9  1086.7  1505.8  2301.2 10322.6 108982.0   115000  1714580692320  1714580697618
read      612.9   344.9   148.8   283.5   327.7   559.8   672.0   740.7   794.3   861.0   951.0  1099.2  1463.8  2340.2  9644.8 105625.6   120000  1714580699122  1714580704417
read      604.5   339.9   148.8   283.2   325.6   549.0   659.9   730.0   784.9   852.4   942.6  1097.7  1455.7  2119.8 10497.5 107019.2   125000  1714580705920  1714580711219

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      373.4   403.0   160.7   232.7   258.3   353.3   385.6   402.7   416.5   431.0   451.8   483.8   607.5  5126.3 20903.3   5005.8     5000  1714580542282  1714580547716
read      391.0   380.5   160.7   216.8   233.9   382.7   431.9   454.0   467.9   486.4   506.7   541.4   641.5  3931.8 24226.5   9991.0    10000  1714580549220  1714580554592
read      392.4   219.0   160.7   209.9   226.0   391.1   457.5   485.5   503.7   525.1   548.1   586.2   668.5  1970.5  7610.5  15015.4    15000  1714580556096  1714580561425
read      401.3   216.5   148.8   205.4   221.8   388.4   476.0   512.2   535.2   559.8   587.9   629.3   732.8  1532.0  9149.8  19954.8    20000  1714580562930  1714580568258
read      407.5   273.8   160.7   203.9   220.0   377.5   480.3   524.7   552.7   580.6   613.1   658.1   783.2  1749.8 12826.4  24934.6    25000  1714580569762  1714580575082
read      405.5   264.4   148.8   201.7   216.3   363.4   468.9   521.6   554.7   588.9   628.6   687.5   949.0  1560.1 12251.3  30060.0    30000  1714580576587  1714580581914
read      390.5   261.0   148.8   197.4   210.9   344.3   445.5   496.6   530.4   566.7   608.7   673.7  1027.6  1490.4  9142.8  34992.6    35000  1714580583417  1714580588725
read      393.6   241.8   148.8   200.3   214.2   339.6   438.6   492.2   528.7   567.7   613.1   687.1  1145.0  1702.2  8789.6  40006.6    40000  1714580590229  1714580595526
read      401.7   260.4   148.8   198.7   212.4   334.0   442.8   501.1   541.9   585.9   637.9   737.8  1294.5  1866.9  9085.0  44971.8    45000  1714580597030  1714580602360
read      387.9   278.9   148.8   196.6   209.0   310.9   414.9   477.1   520.5   568.3   626.7   737.2  1339.4  1905.0  8771.2  50175.7    50000  1714580603864  1714580609152
read      394.3   284.5   148.8   198.4   211.0   315.3   419.2   481.9   527.0   577.4   636.3   750.6  1409.1  2027.6  7603.2  54889.7    55000  1714580610657  1714580615956
read      392.5   292.2   148.8   198.1   210.1   299.2   393.0   460.4   508.9   565.2   637.2   816.0  1591.5  2207.1  7948.2  60033.0    60000  1714580617460  1714580622764
read      390.6   286.0   148.8   197.0   209.5   300.2   384.7   444.0   489.7   545.0   620.9   835.1  1675.8  2360.6  6641.4  65023.4    65000  1714580624269  1714580629562
read      393.1   330.5   148.8   197.3   209.7   299.5   378.6   434.2   476.9   531.5   610.4   857.1  1794.8  2722.6  7934.5  70074.0    70000  1714580631066  1714580636372
read      392.4   360.9   148.8   197.8   209.9   295.2   367.7   420.2   461.0   513.2   593.5   892.8  1924.6  2884.2  8478.0  74795.6    75000  1714580637875  1714580643174
read      392.0   359.8   148.8   196.9   209.3   294.6   360.0   405.0   442.6   492.1   572.9   934.2  2047.3  2950.9  6525.8  79748.0    80000  1714580644679  1714580649971
read      387.9   401.5   148.8   197.3   209.5   288.1   344.4   388.1   425.0   473.6   555.9   942.2  2114.3  3051.2  7905.0  84875.2    85000  1714580651474  1714580656792
read      411.2   442.1   148.8   202.0   214.5   301.3   364.4   409.1   447.1   499.1   595.4  1040.7  2270.6  3368.9 12938.7  89734.3    90000  1714580658297  1714580663612
read      427.0   460.3   148.8   203.2   216.7   308.0   371.8   418.0   457.1   511.7   636.2  1144.6  2420.3  3676.7  9867.3  95047.4    95000  1714580665116  1714580670418
read      460.3   422.3   148.8   207.7   223.6   342.8   433.6   500.1   561.0   657.1   810.3  1114.8  2031.4  3305.4 10481.5 100100.6   100000  1714580671922  1714580677228
read      479.0   427.5   148.8   210.7   227.8   366.0   475.3   553.3   623.3   716.9   850.2  1093.9  1880.5  3191.9 12345.2 104771.2   105000  1714580678733  1714580684022
read      596.4   336.0   160.7   273.5   315.2   542.7   652.5   722.8   777.6   845.5   934.8  1089.6  1435.7  2178.3  9076.7 107112.4   110000  1714580685526  1714580690815
