#type avg std min p5 p10 p50 p67 p75 p80 p85 p90 p95 p99 p999 p9999 QPS target ts_start ts_end
read 216.9 175.6 80.4 122.9 133.0 193.4 227.8 249.2 266.7 289.9 324.5 382.4 479.4 1228.0 8129.9 30261.3 30285 1715519315539 1715519325661
read 222.7 206.9 80.4 124.3 134.9 197.5 232.8 255.5 273.8 297.8 334.3 389.3 494.2 1243.1 11013.2 30317.8 30290 1715519327171 1715519337281
read 216.2 173.7 80.4 124.6 134.9 192.8 225.3 246.9 265.4 289.8 323.7 374.4 462.9 1205.5 8665.6 30255.9 30295 1715519338788 1715519348937
read 231.3 203.5 80.4 126.8 137.4 204.0 241.8 265.8 284.5 309.2 344.8 401.3 516.9 2415.4 8658.3 30201.1 30300 1715519350446 1715519360568
read 224.4 248.7 80.4 124.0 134.3 197.3 232.9 254.9 272.5 296.0 331.9 390.2 490.5 2233.4 10099.8 30236.7 30305 1715519362078 1715519372201
read 216.8 151.4 80.4 123.1 133.4 194.3 228.6 250.4 268.4 291.5 324.8 380.1 466.1 1068.8 7271.0 30226.2 30310 1715519373710 1715519383842
read 220.5 222.4 80.4 120.7 130.9 194.0 229.6 252.0 270.4 294.7 331.8 390.0 495.4 1812.2 10782.8 30310.7 30315 1715519385353 1715519395471
read 225.4 246.8 80.4 123.4 134.1 197.5 233.8 258.7 278.5 305.3 342.2 397.3 503.6 1252.8 11311.1 30314.6 30320 1715519396978 1715519407085
read 232.8 320.9 80.4 125.0 135.9 201.2 237.1 262.1 282.3 309.4 346.3 401.7 530.5 3177.6 12376.5 30273.7 30325 1715519408596 1715519418713
read 224.8 178.1 86.8 124.5 135.5 200.8 236.9 260.5 278.3 302.3 337.3 393.9 489.8 1419.8 7825.7 30279.0 30330 1715519420222 1715519430337
read 217.4 189.2 80.4 123.2 133.4 194.2 228.3 249.7 267.3 290.4 324.2 380.8 467.1 954.5 8778.9 30279.9 30335 1715519431847 1715519441964
read 219.3 167.8 74.4 122.4 134.6 197.2 231.4 254.8 273.8 297.7 329.8 375.8 455.4 922.7 7825.8 30394.9 30340 1715519443472 1715519453596
