#type      avg      std      min      p5      p10      p50      p67      p75      p80      p85      p90      p95      p99      p999      p9999      QPS      target      ts_start      ts_end
read      224.4      250.9      80.4      121.8      132.0      193.6      230.0      253.9      273.6      300.6      340.6      400.8      525.3      2142.1      10509.7      30061.0      30020      1715520032308      1715520042421
read      215.7      261.7      80.4      121.8      131.9      189.9      223.1      244.7      263.2      287.9      322.6      377.3      467.9      1011.9      15706.6      30014.5      30025      1715520043930      1715520054056
read      238.4      297.7      80.4      127.6      138.6      208.0      247.9      272.8      292.9      318.4      357.9      418.8      537.3      1816.5      12198.5      29997.8      30030      1715520055565      1715520065690
read      219.5      175.5      80.4      124.2      134.4      193.3      227.8      250.6      270.1      295.8      332.5      385.6      487.0      1847.6      7848.6      30046.8      30035      1715520067201      1715520077316
read      228.1      221.7      80.4      125.3      135.8      201.1      238.9      263.6      282.7      307.9      345.9      405.4      511.0      1235.7      10252.6      30008.4      30040      1715520078824      1715520088943
read      221.3      162.7      80.4      124.1      134.6      195.3      231.0      254.4      273.8      299.2      337.4      394.6      493.5      1532.6      7785.2      30044.7      30045      1715520090452      1715520100574
read      231.4      231.0      80.4      125.3      136.1      201.7      239.9      265.3      285.2      311.6      350.2      409.8      525.2      2369.8      10173.9      30083.8      30050      1715520102083      1715520112198
read      223.7      172.4      80.4      124.5      135.3      198.7      234.9      259.4      278.6      304.5      341.2      398.7      498.3      899.8      8100.1      29972.7      30055      1715520113707      1715520123825
read      231.6      273.8      86.8      125.2      136.1      202.9      241.9      266.7      286.1      311.5      347.9      405.8      507.4      1714.2      13939.0      30195.1      30060      1715520125337      1715520135448
read      223.2      153.9      86.8      124.3      135.3      199.4      235.7      260.5      279.8      305.5      341.0      396.5      487.1      837.3      7668.9      30040.2      30065      1715520136959      1715520147076
read      226.6      242.6      80.4      124.7      135.6      201.2      237.6      261.3      279.4      303.8      339.5      397.4      496.6      1120.0      11901.8      30099.8      30070      1715520148584      1715520158695
read      221.2      168.3      80.4      118.5      129.9      196.4      235.1      262.2      283.0      307.8      339.5      388.4      470.4      1195.6      7865.8      30067.1      30075      1715520160204      1715520170321
